instruction,response,output,prompt,history,summary,his_len,type
[ORG] gracias por la atención,"No hay problema, ¿qué necesita?
",Estamos para servirte.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Ya la encontré, mil disculpas si causé algún inconveniente
Dispatcher: Enterados, se estaba contactando a la persona del departamento ya que andaba en su hora de comida 
 User: [ORG] gracias por la atención
Dispatcher:","[['Ya la encontré, mil disculpas si causé algún inconveniente', 'Enterados, se estaba contactando a la persona del departamento ya que andaba en su hora de comida']]",,11,TheftLostItem
I can go over there soon,"That's good. We'll be waiting for you.
","Ok, you were doing laundry on the third floor","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I can go over there soon
Dispatcher:",[],,4,TheftLostItem
I put my laundry in around #:## and I went down around #:## and it was gone when I went to switch my clothes to the dryer,"ok thank you
",[ACRONYM] Thanks.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I can go over there soon
Dispatcher: Ok, you were doing laundry on the third floor 
 User: The laundry room is on the first floor
Dispatcher: ok thank you 
 User: Should I still go there to view the tape
Dispatcher: I will view the video and contact you directly via phone.My name is [PERSON] and will speak with you shortly. 
 User: Okay thank you
Dispatcher: what time did this take place 
 User: I put my laundry in around #:## and I went down around #:## and it was gone when I went to switch my clothes to the dryer
Dispatcher:","[['I can go over there soon', 'Ok, you were doing laundry on the third floor'], ['The laundry room is on the first floor', 'ok thank you'], ['Should I still go there to view the tape', 'I will view the video and contact you directly via phone.My name is [PERSON] and will speak with you shortly.'], ['Okay thank you', 'what time did this take place']]",,12,TheftLostItem
Didn’t look like it was intentional by the car owners,"No, but it is still a safety concern.
","thank you we currently have someone checking the area. could you provide more information on the vehicle located ""in the lot near the library"" would that be lot ##, ##, ##, ## or ##? and what kind of vehicle","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Didn’t look like it was intentional by the car owners
Dispatcher:",[],,5,TheftLostItem
Sorry about that,"No problem.
",not a problem - thanks and have a great night!,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Sorry about that
Dispatcher:",[],,3,TheftLostItem
Entre #:## ([ORG]) y #:## (All-###),"#:## ([ORG]) y #:## (All-###)
",[ORG] dirigirte con un oficial [PERSON] para que te indique con quien acudir a verificar la información y si la tienen en resguardo.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Entre #:## ([ORG]) y #:## (All-###)
Dispatcher:",[],,4,TheftLostItem
Pero fui y ya habia terminado la clase,"Bueno, gracias por llamar.
",[ORG]?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Pero fui y ya habia terminado la clase
Dispatcher:",[],,7,TheftLostItem
En que lugar encuentro al oficial?,"¿Dónde está el oficial?
",En el acceso principal del Edificio # y #,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: En que lugar encuentro al oficial?
Dispatcher:",[],,17,TheftLostItem
Yes.,"Is there anyone else in the house?
",Great thank you!,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Dark gray hair as well
Dispatcher: Officers will be on the way, can you please step out to the main doors so officers can speak with you. 
 User: Yes.
Dispatcher:","[['Dark gray hair as well', 'Officers will be on the way, can you please step out to the main doors so officers can speak with you.']]",,7,TheftLostItem
I have been told inside room # of blessing suite ###,"Hello, how can I help you?
",I will need the exact location of the items (inside her room ) so I can send officer to investigate and collect the [ACRONYM],"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I have been told inside room # of blessing suite ###
Dispatcher:",[],,7,TheftLostItem
[PERSON] algo de la cartera??,"[PERSON]
","[GPE] tardes, nos contactamos con el responsable de Directo [ACRONYM], nos comenta que ninguno de sus operadores encontró la cartera con las características que nos mencionas.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: [PERSON] algo de la cartera??
Dispatcher:",[],,15,TheftLostItem
De la prepa,"De la prepa
",Muy bien,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: De la prepa
Dispatcher:",[],,8,TheftLostItem
Did u get my photo?,"Yes.
","Yes, the photo was received.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Did u get my photo?
Dispatcher:",[],,4,TheftLostItem
I cannot see where he is now as I am heading to campus,"I understand.
","Great, thank you for all you information. We will have officers check the area. Would you like meet with officers ?","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I cannot see where he is now as I am heading to campus
Dispatcher:",[],,7,TheftLostItem
Is there any possibility the money can be returned?,"I am sorry, but the money is gone. 
",Not likely..but its good to make the report just in case a pattern starts to occur and [ORG] can make more rounds of the area.. Also if there is a camera the footage would be reviewed.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Happened between #:## [ACRONYM] and # [ACRONYM] today.
Dispatcher: Are you still on campus 
 User: Am very close, can be back in ## minutes
Dispatcher: If you could respond to [ORG] to make a report. 
 User: Is there any possibility the money can be returned?
Dispatcher:","[['Happened between #:## [ACRONYM] and # [ACRONYM] today.', 'Are you still on campus'], ['Am very close, can be back in ## minutes', 'If you could respond to [ORG] to make a report.']]",,5,TheftLostItem
Got it I think I am good for now. Thanks!,"You are welcome.
","If you have any other concerns or question feel free to message us again, have a good morning.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I did not find anything other than that
Dispatcher: That is a matter for [ORG] to handle. You can give us a call if you would like. 
 User: Got it I think I am good for now. Thanks!
Dispatcher:","[['I did not find anything other than that', 'That is a matter for [ORG] to handle. You can give us a call if you would like.']]",,11,TheftLostItem
It looks like west on orchard avenue,"Thank you, please let me know if he stops or turns around
",Thank you I am sending officers would you like to meet the responding units?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: It looks like he’s about to leave
Dispatcher: Please let me know which way he's going I have officers enroute 
 User: It looks like west on orchard avenue
Dispatcher:","[['It looks like he’s about to leave', ""Please let me know which way he's going I have officers enroute""]]",,5,TheftLostItem
[ORG] is #### Park Grove Ave,"[ORG] is #### Park Grove Ave
",please call me,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: [ORG] is #### Park Grove Ave
Dispatcher:",[],,3,TheftLostItem
Y unos audífonos bluetooth [ORG],"Y unos audífonos bluetooth [ORG]
",Nos podría informar si acudió al departamento de objetos perdidos ?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Y unos audífonos bluetooth [ORG]
Dispatcher:",[],,12,TheftLostItem
Sure. [PERSON]?,"I'm sorry. I'm not sure what you mean.
",Who was the victim? are you in sawyer now?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I wasn't in incident. This is all the information I have. I'm sorry
Dispatcher: Could you please meet with us? 
 User: Sure. [PERSON]?
Dispatcher:","[[""I wasn't in incident. This is all the information I have. I'm sorry"", 'Could you please meet with us?']]",,12,TheftLostItem
One is wearing a hat and white shirt and cargo shorts and [NORP]. One has a shopping cart and is [NORP] and blonde.,"Is the suspect male or female?
",thank you so much. Which way are they heading?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Yes saw him hammering the lock
Dispatcher: What race are they? and basic description of clothing please? 
 User: One is wearing a hat and white shirt and cargo shorts and [NORP]. One has a shopping cart and is [NORP] and blonde.
Dispatcher:","[['Yes saw him hammering the lock', 'What race are they? and basic description of clothing please?']]",,6,TheftLostItem
"Thank you! I wasn’t sure if I should call [ORG] because I didn’t think they’d care too much about it, but I understand. I’ll report it to them as well. Thanks again!","You are very welcome, I'm glad I could help.
",They will definitely take your report and be sure to ask the officer about recent car break-ins. Try to have a great day despite the start of it....,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: We have a blue #### Subaru Outback with a [GPE] plate, in case that is relevant. We park it on our side of the road on [ORG] every day.
Dispatcher: I'm terribly sorry this has happened, because this did not occur on [ORG] I advise you to call [ORG] at ###-###-#### or ###-###-####...again we are sorry for the inconvenience 
 User: Thank you! I wasn’t sure if I should call [ORG] because I didn’t think they’d care too much about it, but I understand. I’ll report it to them as well. Thanks again!
Dispatcher:","[['We have a blue #### Subaru Outback with a [GPE] plate, in case that is relevant. We park it on our side of the road on [ORG] every day.', ""I'm terribly sorry this has happened, because this did not occur on [ORG] I advise you to call [ORG] at ###-###-#### or ###-###-####...again we are sorry for the inconvenience""]]",,3,TheftLostItem
im a goof,"Hey, this is the police. How can I help you?
",That's no problem. Glad you found it,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: im a goof
Dispatcher:",[],,3,TheftLostItem
Thanks!,"You're welcome.
",This is your event number:,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Bicycle locked to rail at approximately #pm # September ####, I noticed it was tampered and stolen at ##am # September ####
Dispatcher: Thank you so much, and have a good day! 
 User: Thanks!
Dispatcher:","[['Bicycle locked to rail at approximately #pm # September ####, I noticed it was tampered and stolen at ##am # September ####', 'Thank you so much, and have a good day!']]",,11,TheftLostItem
The first person they saw in the bins was [NORP] with a bicycle in the little trailer behind,"Okay, thank you!
","Ok thank you, we will pass the info along. Have a good night.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: So sorry!
Dispatcher: No worries, how many people are in the garbage area? 
 User: I was told my custodial staff that it was # people
Dispatcher: Any descriptions? 
 User: I’ll call them and ask
Dispatcher: If you wouldn't mind, that would be helpful, thank you! 
 User: The first person they saw in the bins was [NORP] with a bicycle in the little trailer behind
Dispatcher:","[['So sorry!', 'No worries, how many people are in the garbage area?'], ['I was told my custodial staff that it was # people', 'Any descriptions?'], ['I’ll call them and ask', ""If you wouldn't mind, that would be helpful, thank you!""]]",,13,TheftLostItem
[ORG],"Gracias por llamar, ¿qué es lo que te preocupa? 
",[GPE] servirte.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: [PERSON] #
Dispatcher: Si, después de las #:## p.m. revisamos y te avisamos. 
 User: [ORG]
Dispatcher:","[['[PERSON] #', 'Si, después de las #:## p.m. revisamos y te avisamos.']]",,6,TheftLostItem
No problem,"ok so you're reporting a crime
",Would you like to meet with any officers after they respond?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: It happens about #-## min before I reported it
Dispatcher: ok thank you so much. 
 User: No problem
Dispatcher:","[['It happens about #-## min before I reported it', 'ok thank you so much.']]",,14,TheftLostItem
Y si no esta que tengo q hacer?,"No, no es necesario que llames a la policía.
","Se localiza en la oficina #### A, en el edificio #, con un horario de atención de lunes a viernes de #:## a ##:## y de ##:## a ##:## horas y sábados de #:## a ##:## horas. Si tienes alguna duda, puedes comunicarte a la extensión ####, o al correo electrónico [EMAIL]","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Y si no esta que tengo q hacer?
Dispatcher:",[],,7,TheftLostItem
Ok thank you,"No problem. 
","Thank you as well. If you need an escort to file the report, give us a call at ###-###-####.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: But I just wanna let [ORG] know
Dispatcher: Are you able to come to the [ORG] lobby to file a report? We are located in [FAC], and we are open ## hrs a day. 
 User: Can I come by later tonight?
Dispatcher: Yes, at your convenience is fine. 
 User: Ok thank you
Dispatcher:","[['But I just wanna let [ORG] know', 'Are you able to come to the [ORG] lobby to file a report? We are located in [FAC], and we are open ## hrs a day.'], ['Can I come by later tonight?', 'Yes, at your convenience is fine.']]",,10,TheftLostItem
Son celestes,"Dispatcher
","Revisamos y no han reportado unos lentes como los que mencionas, si los llegan a reportar con gusto te lo compartimos por este medio.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Son celestes
Dispatcher:",[],,4,TheftLostItem
Igual y si se me cayeron ahí en dónde llegan en campus,"Hola, ¿qué puedo ayudarle?
","Si, ya lo revisamos en [ORG] y no están.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Igual y si se me cayeron ahí en dónde llegan en campus
Dispatcher:",[],,14,TheftLostItem
Female,"Okay, I have an officer on his way, he will be there in a few minutes. 
","Thank you, he will be there shortly.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I don’t see him he went out towards the dorms on avenue of champions
Dispatcher: If you could, Ofc. [PERSON] is on his way, where can he meet you? 
 User: I[PERSON] at the long table at [ORG] wearing a gray sweater and shorts. With headphones
Dispatcher: Are you a male or female? 
 User: Female
Dispatcher:","[['I don’t see him he went out towards the dorms on avenue of champions', 'If you could, Ofc. [PERSON] is on his way, where can he meet you?'], ['I[PERSON] at the long table at [ORG] wearing a gray sweater and shorts. With headphones', 'Are you a male or female?']]",,8,TheftLostItem
[ORG] has been located!,"[ORG] has been located!
",Thank you for the tip.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: [ORG] has been located!
Dispatcher:",[],,1,TheftLostItem
"There's a chance one leaves after buying alcohol, because he was a fake [ACRONYM]. They all range from ##-## years of age. They are college freshmen.","Okay, thank you.
",Do you know any of the subjects' names or what room they stay in?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: There's a chance one leaves after buying alcohol, because he was a fake [ACRONYM]. They all range from ##-## years of age. They are college freshmen.
Dispatcher:",[],,5,TheftLostItem
[ORG] gracias,"[ORG] gracias
",[PERSON] si acudió [ORG] objetos extraviados del Campus para corroborarlo o aun no ha acudido?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: [ORG] gracias
Dispatcher:",[],,17,TheftLostItem
White apple charger with the larger ##w wall adapter. I left it in there a little before #pm as I was serving the [GPE] It was in there for a little more than an hour,"Ok. Can you tell me what you were doing while you were at the [GPE]? 
",I think your charger may still be in [ORG].,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I waited until today to officially report it hoping it would turn up.
Dispatcher: Can you describe your charger? Brand, color, etc. Also, approximately what time did you leave your charger in [ORG]? 
 User: White apple charger with the larger ##w wall adapter. I left it in there a little before #pm as I was serving the [GPE] It was in there for a little more than an hour
Dispatcher:","[['I waited until today to officially report it hoping it would turn up.', 'Can you describe your charger? Brand, color, etc. Also, approximately what time did you leave your charger in [ORG]?']]",,3,TheftLostItem
yeah i just called,"what's up?
",he is there,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: yeah i just called
Dispatcher:",[],,11,TheftLostItem
Can I call them now?,"Yes, you can.
",Yes they should take it over the phone,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Can I call them now?
Dispatcher:",[],,5,TheftLostItem
Of elm,"Of elm
","Alright, officers are on their way now","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Of elm
Dispatcher:",[],,8,TheftLostItem
En el salon ### o en el de testro o en el ####,"Hola, ¿qué puedo ayudarle?
","[GPE] noches, ya lo revisamos con el personal de la Unidad, nos informan que no lo ubicaron, te sugerimos acudir mañana [PERSON] en [PERSON] de que se localicen son entregado ahí","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: En el salon ### o en el de testro o en el ####
Dispatcher:",[],,2,TheftLostItem
O tiene que ser hoy?,"O tiene que ser hoy.
","Por tu seguridad, es mejor acudir el día de mañana.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: O tiene que ser hoy?
Dispatcher:",[],,3,TheftLostItem
Voy como a las #,"Hola, ¿cómo te va?
","Te esperamos, saludos y bonito día!","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Voy como a las #
Dispatcher:",[],,3,TheftLostItem
No recuerdo si fue por donde hay unas mesas y maquinitas alado del salón de computación o donde venden café por el ccu,"No recuerdo, pero no se preocupen, no pasa nada.
","Hola ya revisamos con el departamento de objetos extraviados y nos informan que hasta el momento no la han reportado con ellos, en caso de tener alguna novedad te informamos por este medio","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: No recuerdo si fue por donde hay unas mesas y maquinitas alado del salón de computación o donde venden café por el ccu
Dispatcher:",[],,4,TheftLostItem
Con un puntito blanco,"Hola, ¿qué puedo ayudarle?
",alguna marca ?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Con un puntito blanco
Dispatcher:",[],,7,TheftLostItem
[ORG] color negro de piel y tiene como cuadritos de la misma piel y trae varias tarjetas,"[ORG] gracias, te aseguro que lo investigaremos y te contactaremos si es necesario
",cuales son tus datos,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Fui*
Dispatcher: Nos podrias indicar las carateristicas de la cartera para revisar 
 User: [ORG] color negro de piel y tiene como cuadritos de la misma piel y trae varias tarjetas
Dispatcher:","[['Fui*', 'Nos podrias indicar las carateristicas de la cartera para revisar']]",,6,TheftLostItem
Around #:##,"Are you sure it was a bike? 
",At which location?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Bike dock
Dispatcher: How long ago did you see this happen? How are they stealing them? 
 User: Around #:##
Dispatcher:","[['Bike dock', 'How long ago did you see this happen? How are they stealing them?']]",,9,TheftLostItem
"I was unable to send it earlier, but i found it this morning around #:## at #### beckton road","ok, that's fine.
","Thank you for you the information we will make a report of it, around what time could this have taken place?","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I was unable to send it earlier, but i found it this morning around #:## at #### beckton road
Dispatcher:",[],,1,TheftLostItem
Yes,"Okay, and you said that you were in [ORG] when it happened? 
",Please be sure to also submit a police report for the stolen items and to file the burglary,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Besides that like athletic tape, bug spray, and little things
Dispatcher: Sorry but just to clarify it was parked in [ORG] and that is where it was burgled? 
 User: Yes
Dispatcher:","[['Besides that like athletic tape, bug spray, and little things', 'Sorry but just to clarify it was parked in [ORG] and that is where it was burgled?']]",,13,TheftLostItem
Between the [LOC] center and the dorm . [PERSON] to [PERSON] parking structure,"[PERSON]
",Okay we are sending officers. What were they wearing?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Between the [LOC] center and the dorm. [PERSON] to [PERSON] parking structure
Dispatcher:",[],,3,TheftLostItem
[ORG] and [PERSON]. The pharmacy by the parking structure at engelmann,"Did they go into the pharmacy? 
",Thank you. We will send officers,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: They had # bikes and # people
Dispatcher: What color shirt and pants? 
 User: One kid had longer curly hair. Dark shirt I think
Dispatcher: Did you see the color shirt of the other people? 
 User: I think they were all wearing dark navy or black
Dispatcher: What direction did they go? 
 User: [ORG] and [PERSON]. The pharmacy by the parking structure at engelmann
Dispatcher:","[['They had # bikes and # people', 'What color shirt and pants?'], ['One kid had longer curly hair. Dark shirt I think', 'Did you see the color shirt of the other people?'], ['I think they were all wearing dark navy or black', 'What direction did they go?']]",,13,TheftLostItem
I can come to campus safety I am walking there now,"That is fine. We will be open until ##/##.
","Okay, thank you.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: It is a very big scooter and is silver. I am #’# so the scooter is quite tall as you can see from the picture attached
Dispatcher: Thank you for the message. We would like to take a theft report. Can you come to [ORG] to meet with an officer. We are open ##/#. If not, we can send an officer to meet with you at your location. 
 User: I can come to campus safety I am walking there now
Dispatcher:","[['It is a very big scooter and is silver. I am #’# so the scooter is quite tall as you can see from the picture attached', 'Thank you for the message. We would like to take a theft report. Can you come to [ORG] to meet with an officer. We are open ##/#. If not, we can send an officer to meet with you at your location.']]",,3,TheftLostItem
Hi,"Hi. How can I help you?
",Thank you for using [ORG]. Was your bike registered with [ORG]?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Hi
Dispatcher:",[],,1,TheftLostItem
Towards the road,"Hello, my name is [Dispatcher Name] and I will be your dispatcher.
",[ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM]!,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Towards the road
Dispatcher:",[],,10,TheftLostItem
"i think it was a blue bike, but it’s quite dark, he was hiding in the shadows, we didn’t notice him until right before","okay, so you were walking home from the bus stop, and you saw a man riding a bike, and he was trying to hide in the shadows?
",Thank you for the information. We will have officers check the area,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: i think it was a blue bike, but it’s quite dark, he was hiding in the shadows, we didn’t notice him until right before
Dispatcher:",[],,7,TheftLostItem
Negro,"Negro
",Día aproximado?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Negro
Dispatcher:",[],,7,TheftLostItem
